Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
350091|Linares, Miraflores|Linares|Del Maule|-35.918054|-71.613333|Fundación para el Desarrollo Frutícola|2020|2023
350092|Longaví Sur|Longaví|Del Maule|-35.953055|-71.608055|Fundación para el Desarrollo Frutícola|2020|2023
350093|Parral Campanacura|Parral|Del Maule|-35.973888|-71.027777|Fundación para el Desarrollo Frutícola|2020|2023
350094|San Jorge Los Niches|Curicó|Del Maule|-35.091666|-71.120554|Instituto de Investigación Agropecuaria|2020|2023
350095|Deuca|Curepto|Del Maule|-35.127777|-71.955833|Instituto de Investigación Agropecuaria|2020|2023
350096|Miraflores|Longaví|Del Maule|-35.818054|-71.774999|Instituto de Investigación Agropecuaria|2020|2023
350097|Lomas|Pelluhue|Del Maule|-35.835555|-72.587499|Instituto de Investigación Agropecuaria|2020|2022
360011|General Bernardo O'Higgins, Chillán Ad.|Chillán|De Ñuble|-36.585833|-72.036666|Dirección Meteorológica de Chile|1941|2023
360015|Isla Quiriquina faro|Talcahuano|Del Biobío|-36.610555|-73.051388|Armada de Chile|2020|2023
360019|Carriel Sur, Concepción Ap.|Talcahuano|Del Biobío|-36.780554|-73.066388|Dirección Meteorológica de Chile|1966|2023
360042|Termas de Chillán|Chillán|De Ñuble|-36.903611|-71.41|Dirección Meteorológica de Chile|2012|2023
360043|Parral  (FDF)|Parral|Del Maule|-36.213333|-71.737499|Fundación para el Desarrollo Frutícola|2020|2023
360045|Chillán Quinchamalí|Chillán|De Ñuble|-36.620832|-72.3625|Dirección Meteorológica de Chile|2016|2020
360046|Chillán Mayulermo|San Ignacio|De Ñuble|-36.828054|-71.866943|Dirección Meteorológica de Chile|2016|2023
360047|Retiro Copihue|Retiro|Del Maule|-36.075554|-71.758055|Dirección Meteorológica de Chile|2016|2023
360049|Coronel de Maule|Cauquenes|Del Maule|-36.059166|-72.477777|Instituto de Investigación Agropecuaria|2019|2023
360050|Los Despachos|Cauquenes|Del Maule|-36.062222|-72.371388|Instituto de Investigación Agropecuaria|2019|2023
360055|Monte Flor-Tucapel|Parral|Del Maule|-36.244721|-71.934166|Instituto de Investigación Agropecuaria|2019|2023
360059|Ninhue|Ninhue|De Ñuble|-36.398055|-72.395277|Instituto de Investigación Agropecuaria|2020|2023
360060|CE arroz|San Carlos|De Ñuble|-36.409166|-72.006666|Instituto de Investigación Agropecuaria|2019|2023
360062|Portezuelo|Portezuelo|De Ñuble|-36.531943|-72.368332|Instituto de Investigación Agropecuaria|2019|2023
360063|Sta. Rosa|Chillán|De Ñuble|-36.535277|-71.916388|Instituto de Investigación Agropecuaria|2019|2023
360068|Nueva Aldea|Portezuelo|De Ñuble|-36.648888|-72.513611|Instituto de Investigación Agropecuaria|2019|2023
360069|Punta Parra|Tomé|Del Biobío|-36.672499|-72.964722|Instituto de Investigación Agropecuaria|2019|2023
360075|Navidad|El Carmen|De Ñuble|-36.907222|-71.935555|Instituto de Investigación Agropecuaria|2019|2023
360076|Chiguayante|Chiguayante|Del Biobío|-36.913611|-73.035555|Instituto de Investigación Agropecuaria|2019|2023
360079|Longaví Norte|Longaví|Del Maule|-36.036944|-71.683333|Fundación para el Desarrollo Frutícola|2020|2023
360080|Retiro, Parral Norte|Parral|Del Maule|-36.230277|-71.732221|Fundación para el Desarrollo Frutícola|2020|2023
360081|Cobquecura|Lebu|Del Biobío|-36.124443|-72.795277|Fundación para el Desarrollo Frutícola|2020|2023
360082|El Carmen Ñiquen|El Carmen|De Ñuble|-36.29361|-71.888055|Fundación para el Desarrollo Frutícola|2020|2023
360083|San Nicolas|San Nicolás|De Ñuble|-36.517777|-72.094721|Fundación para el Desarrollo Frutícola|2020|2023
360084|Coihueco|Coihueco|De Ñuble|-36.557222|-71.817221|Fundación para el Desarrollo Frutícola|2020|2023
360085|Chillan Los Colihues|Chillán|De Ñuble|-36.629999|-71.892499|Fundación para el Desarrollo Frutícola|2020|2023
360086|Pinto San Ignacio|Pinto|De Ñuble|-36.713333|-71.892499|Fundación para el Desarrollo Frutícola|2020|2023
